question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 65,"Brasileiros levam mais tempo de casa para o trabalho Pesquisa do IBGE aponta que a situação é mais grave no Sudeste: 13 por cento das pessoas levam mais de uma hora para chegar ao trabalho. Nas regiões metropolitanas de São Paulo e do Rio, o IBGE registrou os maiores percentuais de trabalhadores que levam mais de uma hora no trajeto até o emprego. Quem vê o Marcelo chegar ao trabalho nem imagina a maratona que ele enfrenta todos os dias antes das 5 horas. “Acordo 4 horas e 30, saio de casa 5 horas, pego trem 5 horas e 20, chego na Central umas 6 horas e 50, pego ônibus e chego no trabalho mais ou menos 7 horas e 10”, conta. Segundo especialista, são os mais pobres os que moram mais longe do emprego. A pesquisa desenvolvida retrata a seguinte dinâmica populacional: ",A Fluxo de retorno. ,B Migração interna. ,C Mudança sazonal. ,D Movimento pendular. ,E Deslocamento forçado. ,D,"{'D': 0.9999999142213336, 'A': 4.618434762928118e-08, 'B': 2.5109994265150276e-08, 'E': 9.382919339128964e-09, 'C': 5.1014047591855715e-09}"
QUESTÃO 66,"A história do Primeiro de Maio de 1890 — na França e na Europa, o primeiro de todos os Primeiros de Maio — é, sob vários aspectos, exemplar. Resultante de um ato político deliberado, essa manifestação ilustra o lado voluntário da construção de uma classe — a classe operária — à qual os socialistas tentam dar uma unidade política e cultural através daquela pedagogia da festa cujo princípio, eficácia e limites há muito tempo tinham sido experimentados pela Revolução Francesa. Com base no texto, a fixação dessa data comemorativa tinha por objetivo ",A valorizar um sentimento burguês. ,B afirmar uma identidade coletiva. ,C edificar uma memória nacional. ,D criar uma comunidade cívica. ,E definir uma tradição popular. ,B,"{'B': 0.9999994704722968, 'A': 2.3090695995775434e-07, 'D': 1.637375528738684e-07, 'C': 8.494600833782108e-08, 'E': 4.993718215460299e-08}"
QUESTÃO 67,"TEXTO 1 A primeira grande lei educacional do Brasil, de 1827, determinava que, nas “escolas de primeiras letras” do Império, meninos e meninas estudassem separados e tivessem currículos diferentes. No Senado, o Visconde de Cayru foi um dos defensores de que o currículo de matemática das garotas fosse o mais enxuto possível. Nas palavras dele, o “belo sexo” não tinha capacidade intelectual para ir muito longe: — Sobre as contas, são bastantes [para as meninas] as quatro espécies, que não estão fora do seu alcance e lhes podem ser de constante uso na vida. TEXTO 2 No Senado, o único a defender publicamente que as meninas tivessem, em matemática, um currículo idêntico ao dos meninos foi o Marquês de Santo Amaro (RJ). Ele argumentou: — Não me parece conforme, às luzes do tempo em que vivemos, deixarmos de facilitar às brasileiras a aquisição desses conhecimentos [mais aprofundados de matemática]. A oposição que se manifesta não pode nascer senão do arraigado e péssimo costume em que estavam os antigos, os quais nem queriam que suas filhas aprendessem a ler. Os discursos expressam pontos de vista divergentes respectivamente pela oposição entre ",A liberdade de gênero e controle social. ,B equidade de escolha e imposição cultural. ,C dominação de corpos e igualdade humana. ,D geração de oportunidade e restrição profissional. ,E exclusão de competências e participação política. ,B,"{'B': 0.9865729576634911, 'D': 0.012037024536256628, 'A': 0.0010851706739469595, 'E': 0.0002659325903106378, 'C': 3.891453599467693e-05}"
QUESTÃO 68,"Após sete anos da ocupação de um terreno abandonado em Santo André, no ABC paulista, os condomínios Novo Pinheirinho e Santos Dias foram inaugurados, com a presença de representantes dos governos federal, estadual e municipal. A ocupação começou em 2012 e, desde então, o movimento vinha reivindicando o direito de usufruir do espaço para a construção de casas. A Carta Magna, em seu art. 6º, garante a todos os brasileiros o direito à moradia. O texto apresenta uma estratégia usada pelo movimento social para ",A fragilizar o poder público. ,B fomentar a economia solidária. ,C controlar a propriedade estatal. ,D garantir o preceito constitucional. ,E incentivar a especulação imobiliária. ,D,"{'D': 0.9999998975676966, 'C': 3.378918343355997e-08, 'A': 3.124988619807259e-08, 'E': 1.9863636220157907e-08, 'B': 1.752959743835653e-08}"
QUESTÃO 69,"TEXTO 1 A Marinha identifica, na voz de Thomas Barnett, uma ampla região potencialmente insubmissa ou simplesmente irredutível às normas gerais de funcionamento promovidas pelos Estados Unidos e sancionadas pelo Fundo Monetário Internacional, pela Organização Mundial do Comércio e pelo Banco Mundial. E não necessariamente por sua consciência rebelde, mas sim, em muitos casos, pela insubstancialidade de suas instituições estatais. TEXTO 2 Descrição da imagem: Mapa-múndi destaca locais identificados como “Alta densidade e variedade germoplásmica”, “Petróleo e gás” e “A ‘brecha’ crítica do ‘Novo Mapa do Pentágono’”. A parte do globo identificada como “A ‘brecha’ crítica do ‘Novo Mapa do Pentágono’” engloba extensas áreas oceânicas e continentais na América Central, norte da América do Sul, Caribe, a maior parte do continente africano, Oriente Médio, Ásia Central e Sudeste Asiático. As preocupações do governo estadunidense expressas no texto e no mapa evidenciam uma estratégia para ",A compartilhamento de inovações tecnológicas. ,B promoção de independência financeira. ,C incremento de intercâmbios culturais. ,D ampliação de influência econômica. ,E preservação de recursos naturais. ,D,"{'D': 0.9999993461813794, 'B': 2.238027252025048e-07, 'E': 2.1691703923264413e-07, 'C': 1.0738182845688188e-07, 'A': 1.057170275149262e-07}"
QUESTÃO 70,"Colegas, na mente e no coração do povo, a Crimeia sempre foi uma porção inseparável da Rússia. Essa firme convicção se baseia na verdade e na justiça e foi passada de geração em geração, ao longo do tempo, sob quaisquer circunstâncias, apesar de todas as drásticas mudanças que nosso país atravessou durante todo o século 20. Considerando a dinâmica geopolítica subjacente ao texto, a justificativa utilizada por Vladimir Putin, em 2014, para anexação dessa península apela para o argumento de que ",A as populações com idioma comum devem estar submetidas à mesma autoridade estatal. ,B o imperialismo soviético havia se acomodado às pretensões das potências vizinhas. ,C os organismos transnacionais são incapazes de solucionar disputas territoriais. ,D a integração regional supõe a livre circulação de pessoas e mercadorias. ,E a expulsão das forças navais ocidentais garantiria a soberania nacional. ,A,"{'A': 0.9999252480237392, 'B': 4.683757493275987e-05, 'C': 1.544539288862713e-05, 'E': 6.961784004339751e-06, 'D': 5.507224435108842e-06}"
QUESTÃO 71,"A dublagem é o novo campo a ser explorado pela inteligência artificial, e há empresas dedicadas a fazer com que as vozes originais de atores sejam transpostas para outros idiomas. A novidade reforça a tendência da automação de postos de trabalho nas mais diversas áreas. Tem potencial para facilitar a vida de estúdios e produtoras e, ao mesmo tempo, tornar mais escassas as oportunidades para dubladores e atores que trabalham com isso. A consequência da mudança tecnológica apresentada no texto é a ",A proteção da economia nacional. ,B valorização da cultura tradicional. ,C diminuição da formação acadêmica. ,D estagnação da manifestação artística. ,E ampliação do desemprego estrutural. ,E,"{'E': 0.999998595596083, 'D': 8.315271395731066e-07, 'A': 4.6644445113799145e-07, 'B': 5.5708845330951283e-08, 'C': 5.0723480894348874e-08}"
QUESTÃO 72,"Brasil e Argentina fecham acordo para corte de 10 por cento na tarifa do Mercosul Brasil e Argentina chegaram a um acordo para a redução em 10 por cento da Tarifa Externa Comum (TEC) do Mercosul. O consenso foi alcançado durante negociação entre o ministro das Relações Exteriores do Brasil e o seu equivalente argentino, no Palácio do Itamaraty, em Brasília, no início do mês de outubro de 2021. A redução da TEC é um antigo desejo do Brasil, que pretende abrir mais sua economia e, com isso, ajudar a controlar a inflação. Já a Argentina temia que a medida pudesse afetar sua produção industrial. O acordo vai abranger uma ampla gama de produtos e ainda será apresentado ao Paraguai e Uruguai, para que seja formalizado. A necessidade de negociação diplomática para viabilizar o acordo tarifário mencionado é explicada pela seguinte característica do Mercosul: ",A Limitação da circulação financeira. ,B Padronização da política monetária. ,C Funcionamento da união aduaneira. ,D Dependência da exportação agrícola. ,E Equivalência da legislação trabalhista. ,C,"{'C': 0.9998996835761345, 'A': 1.715785102400739e-07, 'B': 8.104794940654246e-08, 'D': 7.37949977032617e-08, 'E': 9.999000240816137e-05}"
QUESTÃO 73,"Ainda que a fome ocorrida na Itália em 536 tenha origem nos eventos climáticos, suas implicações são tanto políticas quanto econômicas. Nos primeiros séculos da Idade Média, o auxílio aos famintos se inscreve no domínio da gestão pública, mesmo quando a ação de seus agentes é apresentada sob o ângulo da piedade e da caridade individuais, como é o caso da Gália merovíngia. Assim, o fato de que as respostas à fome são mostradas, na Gália, como o fruto de iniciativas pessoais fundadas no imperativo da caridade deriva da natureza das fontes do século 6. Na conjuntura histórica destacada no texto, o dever de agir em face da situação de crise apresentada pertencia à jurisdição ","A da nobreza, proveniente da obrigação de proteção ao campesinato livre. ","B da realeza, decorrente do conceito de governo subjacente à monarquia cristã. ","C dos mosteiros, resultante do caráter fraternal afirmado nas regras monásticas. ","D dos bispados, consequente da participação dos clérigos nos assuntos comunitários. ","E das corporações, procedente do padrão assistencialista previsto nas normas estatutárias. ",B,"{'B': 0.9990746536391909, 'D': 0.0007792521328793486, 'A': 0.0001397122088428756, 'C': 4.780688891769711e-06, 'E': 1.6013301950218795e-06}"
QUESTÃO 74,"As forças tectônicas dentro da litosfera, controladas pelo calor interno das profundezas, geram terremotos, erupções e soerguimento de montanhas. As forças meteorológicas dentro da atmosfera e da hidrosfera, controladas pelo calor do Sol, produzem tempestades, inundações, geleiras e outros agentes de erosão. A interação dinâmica entre as forças naturais citadas favorece a ocupação do espaço geográfico, na medida em que provoca a formação de ",A solos vulcânicos. ,B dorsais oceânicas. ,C relevos escarpados. ,D superfícies lateríticas. ,E dobramentos modernos. ,A,"{'A': 0.9996607063105837, 'C': 0.00013979423331330224, 'E': 0.000133392589291605, 'B': 4.398820718190231e-05, 'D': 2.211865962938861e-05}"
QUESTÃO 75,"Descrição da imagem: Infográfico apresenta uma espiral ascendente na seguinte sequência: LUA DE MEL, TENSÃO, AGRESSÃO, LUA DE MEL, TENSÃO, AGRESSÃO, numa incidência recorrente, até LUA DE MEL, TENSÃO e MORTE. A legenda da ilustração apresenta as seguintes informações: LUA DE MEL: carinho, paixão, presentes, promessas, reconciliação, liberdade; TENSÃO: insulto, humilhação, intimidação, gritos, ameaça, controle, isolamento, medo, conflitos, descumprimento de promessa; AGRESSÃO: empurrão, beliscão, puxão de cabelo, sufocamento, arremesso de objetos, tapa, chute, espancamento.       O ápice da ilustração se traduz por uma conduta social caracterizada pela ",A cultura do cancelamento. ,B prática do feminicídio. ,C postura negacionista. ,D ação involuntária. ,E defesa da honra. ,B,"{'B': 0.9997999779444019, 'A': 5.569780693770852e-08, 'D': 6.347530079663453e-09, 'C': 9.99800051305435e-05, 'E': 9.99800051305435e-05}"
QUESTÃO 76,"Vigiar e punir: nascimento da prisão Michel Foucault O leproso é visto dentro de uma prática da rejeição, do exílio-cerca; deixa-se que se perca lá dentro como numa massa que não tem muita importância diferenciar; os pestilentos são considerados num policiamento tático meticuloso onde as diferenciações individuais são os efeitos limitantes de um poder que se multiplica, se articula e se subdivide. O grande fechamento por um lado; o bom treinamento por outro. A lepra e sua divisão; a peste e seus recortes. Uma é marcada; a outra, analisada e repartida. O exílio do leproso e a prisão da peste não trazem consigo o mesmo sonho político. Os modelos autoritários descritos no texto apontam para um sistema de controle que se baseia no(a): ",A Formação de sociedade disciplinar. ,B Flexibilização do regramento social. ,C Banimento da autoridade repressora. ,D Condenação da degradação humana. ,E Hierarquização da burocracia estatal. ,A,"{'A': 0.9997992323835968, 'B': 7.000766561665247e-07, 'E': 1.0736023239532597e-07, 'D': 9.998008975723347e-05, 'C': 9.998008975723347e-05}"
QUESTÃO 77,"TEXTO 1 Em março de 1889, quando apareceram as primeiras romarias atraídas pelos milagres da beata Maria de Araújo, Juazeiro inseriu-se no rol da fundação do espaço religioso. Construía-se mais um centro, como Aparecida do Norte, Canindé ou Lourdes. TEXTO 2 Não sabemos ao certo quantas pessoas estavam presentes na capela no momento em que a hóstia sangrou na boca de Maria de Araújo. O Padre Cícero nos conta que o fato surpreendeu não só aos presentes, mas a própria beata parecia atordoada com o ocorrido. O fenômeno continuou acontecendo todas as quartas e sextas na Capela de Nossa Senhora das Dores a partir daquele dia. Os paninhos manchados do sangue que escorria da hóstia e da boca da beata, a princípio, ficaram sob a guarda do Padre Cícero, mas logo foram expostos à visitação pública e, além disso, o sangramento foi proclamado como milagre sem o conhecimento e sem a autorização do bispo diocesano. As práticas religiosas mencionadas nos textos estão associadas, respectivamente, à: ",A Delimitação de paisagens urbanas e abandono de componentes espiritualistas. ,B Demarcação de patrimônios afetivos e apropriação de elementos judaizantes. ,C Expansão de fronteiras regionais e subjetivação do cristianismo medieval. ,D Circunscrição de bens simbólicos e admissão de cerimônias ecumênicas. ,E Criação de lugares místicos e experiências do catolicismo popular. ,E,"{'E': 0.9999965625530078, 'D': 2.225278085896343e-06, 'A': 6.786714717887133e-07, 'C': 3.7479798315106e-07, 'B': 1.5869945116614388e-07}"
QUESTÃO 78,"Em 2003, teve início o Programa de Aquisição de Alimentos e, com ele, várias mudanças na perspectiva dos mercados institucionais. Trata-se do primeiro programa de compras públicas com uma orientação exclusiva para a agricultura familiar, articulando-a explicitamente com a segurança alimentar e nutricional. O Programa é destinado à aquisição de produtos agropecuários produzidos por agricultores enquadrados no Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf), incluídas aqui as categorias: assentados da reforma agrária, trabalhadores rurais sem terra, acampados, quilombolas, agroextrativistas, famílias atingidas por barragens e comunidades indígenas. ",ação governamental descrita constitui-se uma importante conquista para os pequenos produtores em virtude da: A A Inovação tecnológica. ,B Reestruturação fundiária. ,C Comercialização garantida. ,D Eliminação no custo do frete. ,E Negociação na bolsa de valores. ,C,"{'C': 0.9998990998322134, 'A': 7.570391302060268e-07, 'B': 8.901358007982178e-08, 'D': 6.411407658059541e-08, 'E': 9.999000099990002e-05}"
QUESTÃO 79,"Um experimento denominado FunFit foi desenvolvido com o objetivo de fazer com que os membros de uma comunidade local se tornassem mais ativos fisicamente. Todos os participantes do estudo foram vinculados a dois outros membros da comunidade que receberiam pequenos incentivos em dinheiro para serem estimulados a aumentar a sua atividade física, que era medida por acelerômetros nos celulares fornecidos pelo estado. Assim, se a pessoa andasse mais do que o habitual, seus conhecidos receberiam o dinheiro. Os resultados foram assombrosos: o esquema mostrou-se de quatro a oito vezes mais eficaz do que o método de oferecer incentivos individuais. Contrariando a visão prevalente sobre o impacto tecnológico nas relações humanas, o texto revela que os celulares podem desempenhar uma função ","A recreativa, promovendo o lazer em redes integradas. ","B social, estimulando a reciprocidade por meios digitais. ","C laboral, convertendo o desenvolvedor em usuário final. ","D comercial, direcionando a escolha por produtos industrializados. ","E cognitiva, favorecendo a aprendizagem pelas ferramentas virtuais. ",B,"{'B': 0.9998989697277209, 'A': 1.002913759818772e-06, 'E': 1.9553685827374447e-08, 'D': 1.780383354899436e-08, 'C': 9.999000099989999e-05}"
QUESTÃO 80,"Os caixeiros do comércio a retalho do Rio de Janeiro estiveram entre as primeiras categorias de trabalhadores a se organizar em associações e a exigir a intervenção dos poderes públicos na mediação de suas lutas por direitos. Na década de 1880, os caixeiros participaram da arena política e ganharam as ruas com vários outros, como os republicanos e os abolicionistas. A atuação dos trabalhadores mencionados no texto representou, na capital do Império, um momento de ",A manutenção das regras patronais. ,B desprendimento das ideias liberais. ,C fortalecimento dos contratos laborais. ,D consolidação das estruturas sindicais. ,E contestação dos princípios monárquicos. ,D,"{'D': 0.49910072776266834, 'E': 0.49910072776266834, 'B': 0.001515784360402969, 'C': 0.00024360864253829972, 'A': 3.9151471721960604e-05}"
QUESTÃO 81,"Solos: formação e conservação Solos salinos ou alomórficos apresentam como característica comum uma concentração muito alta de sais solúveis e/ou de sódio trocável. Eles ocorrem nos locais mais baixos do relevo, em regiões áridas e semiáridas e próximas do mar. Em regiões semiáridas, por exemplo, o polígono das secas do Nordeste brasileiro, os locais menos elevados recebem água que se escoa dos declives adjacentes, durante as chuvas que caem em alguns meses do ano. Essa água traz soluções de sais minerais e evapora-se rapidamente antes de infiltrar-se totalmente, havendo então, cada vez que esse processo é repetido, um pequeno acúmulo de sais no horizonte superficial que, com o passar dos anos, provoca a salinização do solo. Nas últimas décadas, a expansão das atividades agrícolas na região tem ampliado esse processo. As atividades agrícolas, desenvolvidas na região mencionada, intensificam o problema ambiental exposto ao ","A realizar florestamentos de pinus, desrespeitando a prática do pousio. ","B utilizar sistemas de irrigação, desprezando uma drenagem adequada. ","C instalar açudes nos grotões, retardando a velocidade da vazão fluvial. ","D desmatar áreas de preservação permanente, causando assoreamento. ","E aplicar fertilizantes de origem orgânica, modificando a química da terra. ",B,"{'B': 0.9998998997274557, 'A': 8.627509002517545e-08, 'D': 1.4759927576974127e-08, 'E': 9.236526660592247e-09, 'C': 9.999000099990002e-05}"
QUESTÃO 82,"TEXTO 1 Descrição da imagem: Cartum apresenta um celular preso à linha de uma vara de pesca, sobressaindo da janela de um barraco de madeira em uma favela. Em um balão de fala, está escrito: “Tá estudando, Júnior?”. Em outro balão de fala, está escrito: “Calma, tô tentando achar um sinal de wi-fi!”. TEXTO 2 É como se os problemas fossem criados pela pandemia quando, em verdade, isso só demonstra o quanto eles sofrem uma tentativa de serem naturalizados. Eles estavam lá, empurrados para debaixo de vários tapetes. Diversos levantamentos realizados indicam que parcela significativa dos estudantes não têm acesso à internet em suas casas, não têm computadores; têm celulares, mas com pacotes baratos que não permitem assistir a todas as aulas. E, caso tenham celulares e dados, pergunta-se: É possível elaborar um texto no celular? É possível interagir na aula remota pelo celular? A crítica contida no texto e na figura evidencia o seguinte aspecto da sociedade contemporânea: ",A Exclusão social. ,B Expansão digital. ,C Manifestação cultural. ,D Organização espacial. ,E Valorização intelectual. ,A,"{'A': 0.9997993712102081, 'B': 6.374274568753213e-07, 'E': 3.1243597569650197e-08, 'D': 9.998005936878344e-05, 'C': 9.998005936878344e-05}"
QUESTÃO 83,"Na construção da ferrovia Madeira-Mamoré, o que dizer dos doentes, eternos moribundos a vagar entre delírios febris, doses de quinino e corredores da morte? O Hospital da Candelária era santuário e túmulo, monumento ao progresso científico e preâmbulo da escuridão. Foi ali, com suas instalações moderníssimas, que médicos e sanitaristas dirigiram seu combate aos males tropicais. As maiores vítimas, contudo, permaneceriam na sombra à margem do palco, cobaias sem consolo, credores sem nome de uma sociedade que não lhes concedera tempo algum para ser decifrada. No texto, há uma crítica ao modo de ocupação do espaço amazônico pautada na ",A discrepância entre engenharia ambiental e equilíbrio da fauna. ,B incoerência entre maquinaria estrangeira e controle da floresta. ,C incompatibilidade entre investimento estatal e proteção aos nativos. ,D competição entre farmacologia internacional e produtos da fitoterapia. ,E contradição entre desenvolvimento nacional e respeito aos trabalhadores. ,E,"{'E': 0.9999979890928118, 'C': 1.1365628315663497e-06, 'D': 7.22443290976817e-07, 'A': 1.0571681123396938e-07, 'B': 4.618425443528302e-08}"
QUESTÃO 84,"Uma nova economia surgiu em escala global no último quartel do século 20. Chamo-a de informacional, global e em rede para identificar suas características fundamentais e diferenciadas e enfatizar sua interligação. É informacional porque depende basicamente de sua capacidade de gerar, processar e aplicar de forma eficiente a informação baseada em conhecimentos. É global porque seus componentes estão organizados em escala global, diretamente ou mediante uma rede de conexões entre agentes econômicos. É rede porque é feita em uma rede global de interação entre redes empresariais. Qual mudança estrutural é resultado da forma de organização econômica descrita no texto? ",A Fabricação em série. ,B Ampliação de estoques. ,C Fragilização dos cartéis. ,D Padronização de mercadorias. ,E Desterritorialização da produção. ,E,"{'E': 0.9999976516103739, 'D': 1.8448217641959222e-06, 'A': 2.4579870952986296e-07, 'C': 2.0377428741142263e-07, 'B': 5.399486486966367e-08}"
QUESTÃO 85,Olhar o Brasil e não ver o sertão É como negar o queijo com a faca na mão Esse gigante em movimento Movido a tijolo e cimento Precisa de arroz com feijão Que tenha comida na mesa Que agradeça sempre a grandeza De cada pedaço de pão Agradeça a Clemente Que leva a semente Em seu embornal Zezé e o penoso balé De pisar no cacau Maria que amanhece o dia Lá no milharal A letra da canção valoriza uma dimensão do espaço rural brasileiro em sua relação com a cidade ao ressaltar sua função de ,A fornecer a mão de obra qualificada. ,B incorporar a inovação tecnológica. ,C preservar a diversidade biológica. ,D promover a produção alimentar. ,E garantir a moradia básica. ,D,"{'D': 0.9998999398981288, 'A': 5.151721139975283e-08, 'E': 1.030409051497482e-08, 'B': 8.279569330117607e-09, 'C': 9.999000099989999e-05}"
QUESTÃO 86,"O número cada vez maior de mulheres letradas e interessadas pela literatura e pelas novelas, muitas divulgadas em capítulos, seções, classificadas comumente como folhetim, alçou a um gênero de ficção corrente já em 1840, fazendo parte do florescimento da literatura nacional brasileira, instigando a formação e a ampliação de um público leitor feminino, ávido por novidades, pelo apelo dos folhetins e “narrativas modernas” que encenavam “os dramas e os conflitos de uma mulher em processo de transformação patriarcal e provinciana que, progressivamente, começava a se abrir para modernizar seus costumes”. No Segundo Reinado, as mulheres foram se tornando público determinante na construção da literatura e da imprensa nacional. E não apenas público, porquanto crescerá o número de escritoras que colaboram para isso e emergirá uma imprensa feminina, editada, escrita e dirigida por e para mulheres. O registro das atividades descritas associa a inserção da figura feminina nos espaços de leitura e escrita do Segundo Reinado ao(à) ",A surgimento de novas práticas culturais. ,B contestação de antigos hábitos masculinos. ,C valorização de recentes publicações juvenis. ,D circulação de variados manuais pedagógicos. ,E aparecimento de diversas editoras comerciais. ,A,"{'A': 0.9997993965869562, 'B': 6.178157865964075e-07, 'D': 2.550027746490749e-08, 'C': 9.998004848990377e-05, 'E': 9.998004848990377e-05}"
QUESTÃO 87,"Espera, resignado, o dia 13 daquele mês porque, em tal data, usança avoenga lhe faculta sondar o futuro, interrogando a providência. É a experiência tradicional de Santa Luzia. No dia 12 ao anoitecer expõe ao relento, em linha, seis pedrinhas de sal, que representam, em ordem sucessiva da esquerda para a direita, os seis meses vindouros, de janeiro a junho. Ao alvorecer de 13 observa-as: se estão intactas, pressagiam a seca; se a primeira apenas se deliu, transmudada em aljôfar límpido, é certa a chuva em janeiro; se a segunda, em fevereiro; se a maioria ou todas, é inevitável o inverno benfazejo. Esta experiência é belíssima. No experimento descrito, a relação com a paisagem e com a religiosidade permite que o sertanejo seja ",A afeito à devoção ao aceitar destinos sacralizados. ,B acostumado à pobreza ao admitir acasos naturais. ,C habituado ao solo ao conhecer terrenos cultiváveis. ,D íntimo à Caatinga ao interpretar condições ambientais. ,E próximo à vegetação ao identificar espécies arbustivas. ,A,"{'A': 0.5926598419945035, 'D': 0.40732875537277385, 'B': 8.335309608691233e-06, 'E': 1.6413197783930057e-06, 'C': 1.4260033356098365e-06}"
QUESTÃO 88,"Sempre que a relevância do discurso entra em jogo, a questão torna-se política por definição, pois é o discurso que faz do homem um ser político. E tudo que os homens fazem, sabem ou experimentam só tem sentido na medida em que pode ser discutido. Haverá, talvez, verdades que ficam além da linguagem e que podem ser de grande relevância para o homem no singular, isto é, para o homem que, seja o que for, não é um ser político. Mas homens no plural, isto é, os homens que vivem e se movem e agem neste mundo, só podem experimentar o significado das coisas por poderem falar e ser inteligíveis entre si e consigo mesmos. No trecho, a filósofa Hannah Arendt mostra a importância da linguagem no processo de ",A entendimento da cultura. ,B aumento da criatividade. ,C percepção da individualidade. ,D melhoria da técnica. ,E construção da sociabilidade. ,E,"{'E': 0.9998261570172464, 'A': 7.253627632027617e-05, 'D': 1.0509681634475421e-06, 'C': 2.6572636564973333e-07, 'B': 9.999001190419765e-05}"
QUESTÃO 89,"Quarto de despejo: diário de uma favelada Carolina Maria de Jesus Eu estava pagando o sapateiro e conversando com um preto que estava lendo um jornal. Ele estava revoltado com um guarda civil que espancou um preto e amarrou numa árvore. O guarda civil é branco. E há certos brancos que transforma preto em bode expiatório. Quem sabe se guarda civil ignora que já foi extinta a escravidão e ainda estamos no regime da chibata? O texto, que guarda a grafia original da autora, expõe uma característica da sociedade brasileira, que é o(a): ",A Racismo estrutural. ,B Desemprego latente. ,C Concentração de renda. ,D Exclusão informacional. ,E Precariedade da educação. ,A,"{'A': 0.9997998938640772, 'B': 1.4002417703561833e-07, 'E': 6.056857497500534e-09, 'D': 9.998002744414799e-05, 'C': 9.998002744414799e-05}"
QUESTÃO 90,"Descrição da imagem: Infográfico distribuído em quatro quadros com os seguintes dados: Quadro 1: Figura de uma paisagem com árvores, arbustos e vegetação rasteira, denominada “Cobertura natural do solo”, apresenta as seguintes setas: da superfície do solo para cima, denominada “Evapotranspiração: 40 por cento”; acima do solo para a esquerda, denominada “Escoamento superficial: 10 por cento”; abaixo do solo para a esquerda, denominada “Infiltração subsuperficial: 25 por cento”; da superfície do solo para baixo, denominada “Percolação profunda: 25 por cento”. Quadro 2: Figura de uma paisagem com árvores, arbustos, vegetação rasteira e uma casa, denominada “10 por cento a 20 por cento de superfície impermeável”, apresenta as seguintes setas: da superfície do solo para cima, denominada “Evapotranspiração: 38 por cento”; acima do solo para a esquerda, denominada “Escoamento superficial: 20 por cento”; abaixo do solo para a esquerda, denominada “Infiltração subsuperficial: 21 por cento”; da superfície do solo para baixo, denominada “Percolação profunda: 21 por cento”. Quadro 3: Figura de uma paisagem sem vegetação e três casas, denominada “35 por cento a 50 por cento de superfície impermeável”, apresenta as seguintes setas: da superfície do solo para cima, denominada “Evapotranspiração: 35 por cento”; acima do solo para a esquerda, denominada “Escoamento superficial: 30 por cento”; abaixo do solo para a esquerda, denominada “Infiltração subsuperficial: 20 por cento”; da superfície do solo para baixo, denominada “Percolação profunda: 15 por cento”. Quadro 4: Figura de uma paisagem sem vegetação, duas casas e vários edifícios, denominada “75 por cento a 100 por cento de superfície impermeável”, apresenta as seguintes setas: da superfície do solo para cima, denominada “Evapotranspiração: 30 por cento”; acima do solo para a esquerda, denominada “Escoamento superficial: 55 por cento”; abaixo do solo para a esquerda, denominada “Infiltração subsuperficial: 10 por cento”; da superfície do solo para baixo, denominada “Percolação profunda: 5 por cento”.       A intensificação da ocupação urbana demonstrada afeta de forma imediata o(a) ",A nível altimétrico. ,B ciclo hidrológico. ,C padrão climático. ,D tectônica de placas. ,E estrutura das rochas. ,B,"{'B': 0.9998999109593694, 'A': 7.97914148785128e-08, 'C': 1.096864683967798e-08, 'D': 8.27956901482051e-09, 'E': 9.999000099990002e-05}"
