question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 165,"Em uma sala de cinema, para garantir que os espectadores vejam toda a imagem projetada na tela, a disposição das poltronas deve obedecer à norma técnica da Associação Brasileira de Normas Técnicas (ABNT), que faz as seguintes indicações: • Distância mínima ( D mínimo ) entre a tela de projeção e o encosto da poltrona da primeira fileira deve ser de, pelo menos, 60 por cento da largura ( L ) da tela. • Distância máxima ( D máximo ) entre a tela de projeção e o encosto da poltrona da última fileira deve ser o dobro da largura ( L ) da tela, sendo aceitável uma distância de até 2,9 vezes a largura ( L ) da tela. Para o espaçamento entre as fileiras de poltronas, é considerada a distância de 1 metro entre os encostos de poltronas em duas fileiras consecutivas. Uma sala de cinema, cuja largura da tela mede 12 metros, está montada em conformidade com as normas da ABNT e tem suas dimensões especificadas na figura. Descrição da imagem: Figura distribuída em dois esquemas em que, o esquema à esquerda apresenta um trapézio isósceles. A figura à esquerda apresenta um trapézio isósceles cuja base menor mede L e cuja altura mede Daceitável igual a 2,9 vezes L . Esse trapézio é seccionado por dois segmentos de reta paralelos às bases, o primeiro a uma distância da tela de D mínimo igual a 0,6 vezes L , representando o alinhamento dos encostos das poltronas já instaladas da primeira fileira, e o segundo, a uma distância da tela D máximo igual a 2 vezes L , indicando o alinhamento dos encostos das poltronas da última fileira já instalada. Há uma região destacada, compreendida entre o segundo segmento e a base maior do trapézio, denominada Área de instalação de novas poltronas . A figura à direita apresenta parte de 3 fileiras de poltronas, indicando a distância de 1 metro entre os encostos das poltronas de fileiras consecutivas. máx mín Laceitável 1 m 1 m Pretende-se ampliar essa sala, mantendo-se na mesma posição a tela e todas as poltronas já instaladas, ampliando-se ao máximo a sala para os fundos (área de instalação de novas poltronas), respeitando-se o limite aceitável da norma da ABNT. A intenção é aumentar, ao máximo, a quantidade de poltronas da sala, instalando-se novas unidades, iguais às já instaladas. Quantas fileiras de poltronas a sala comportará após essa ampliação?",A 26,B 27,C 28,D 29,E 35,D,"{'D': 0.5546097205572957, 'B': 0.2539188074420803, 'C': 0.15889832943512108, 'A': 0.025141366572518475, 'E': 0.007431775992984431}"
QUESTÃO 166,"A luminosidade L de uma estrela está relacionada com o raio R e com a temperatura T dessa estrela segundo a Lei de Stefan-Boltzmann: L é igual a c vezes R ao quadrado vezes T elevado a 4, em que c é uma constante igual para todas as estrelas. Considere duas estrelas E e F , sendo que a estrela E tem metade do raio da estrela F e o dobro da temperatura de F . Indique por LE e LF suas respectivas luminosidades. A relação entre as luminosidades dessas duas estrelas é dada por",A LE é igual a LF dividido por 2,B LE é igual a LF dividido por 4,C LE é igual a LF,D LE é igual a 4 vezes LF,E LE é igual a 8 vezes LF,B,"{'B': 0.7847761237234043, 'D': 0.15943693535248213, 'E': 0.033419800524333576, 'A': 0.015786392809692927, 'C': 0.006580747590086876}"
QUESTÃO 167,"Uma das informações que pode auxiliar no dimensionamento do número de pediatras que devem atender em uma Unidade Básica de Saúde (UBS) é o número que representa a mediana da quantidade de crianças por família existente na região sob sua responsabilidade. O quadro mostra a distribuição das frequências do número de crianças por família na região de responsabilidade de uma UBS. Descrição da imagem: Quadro que relaciona número de crianças por família à frequência, mostra os seguintes dados: nenhuma criança: 100; 1 criança: 400; 2 crianças: 200; 3 crianças: 150; 4 crianças: 100; 5 crianças: 50.   O número que representa a mediana da quantidade de criança s por família nessa região é","A 1,0.","B 1,5.","C 1,9.","D 2,1.","E 2,5.",A,"{'A': 0.9769728231641307, 'B': 0.022976198701258947, 'D': 2.6902378963975297e-05, 'E': 1.6835078575978668e-05, 'C': 7.240677070282756e-06}"
QUESTÃO 168,"Em jogos de voleibol, um saque é invalidado se a bola atingir o teto do ginásio onde ocorre o jogo. Um jogador de uma equipe tem um saque que atinge uma grande altura. Seu recorde foi quando a batida do saque se iniciou a uma altura de 1,5 metro do piso da quadra, e a trajetória da bola foi descrita pela parábola y é igual a menos, abre parêntese, x ao quadrado dividido por 6, fecha parêntese, menos, abre parêntese, 7 vezes x dividido por 3, fecha parêntese, mais 12, em que y representa a altura da bola em relação ao eixo x (das abscissas) que está localizado a 1,5 metro do piso da quadra, como representado na figura. Suponha que em todas as partidas algum saque desse jogador atinja a mesma altura do seu recorde. Descrição da imagem: Figura representa uma quadra de voleibol no formato de um retângulo, com a figura de um jogador que irá realizar um saque cuja trajetória da bola descreverá uma parábola a partir do instante em que é atingida pelo jogador até cair na quadra da equipe adversária. A parábola está referenciada em um sistema de eixos cartesianos, cujo eixo x está localizado a 1,5 metro acima do piso da quadra e é paralelo às suas laterais, e o eixo y está situado no mesmo plano da rede. A equipe desse jogador participou de um torneio de voleibol no qual jogou cinco partidas, cada uma delas em um ginásio diferente. As alturas dos tetos desses ginásios, em relação aos pisos das quadras, são: • ginásio 1: 17 metros ; • ginásio 2: 18 metros ; • ginásio 3: 19 metros ; • ginásio 4: 21 metros ; • ginásio 5: 40 metros . O saque desse atleta foi invalidado",A apenas no ginásio 1.,B apenas nos ginásios 1 e 2.,"C apenas nos ginásios 1, 2 e 3.","D apenas nos ginásios 1, 2, 3 e 4.",E em todos os ginásios.,D,"{'D': 0.7621075777876243, 'A': 0.09996676731656325, 'C': 0.08822036251826204, 'B': 0.04576812114598289, 'E': 0.003937171231567427}"
QUESTÃO 169,"O pacote básico de um jogo para smartphone, que é vendido a 50 reais, contém 2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis nesse jogo. A empresa que comercializa esse jogo decidiu criar um pacote especial que será vendido a 100 reais e que se diferenciará do pacote básico por apresentar maiores quantidades de gemas e moedas de ouro. Para estimular as vendas desse novo pacote, a empresa decidiu inserir nele 6 000 gemas a mais, em relação ao que o cliente teria caso optasse por comprar, com a mesma quantia, dois pacotes básicos. A quantidade de moedas de ouro que a empresa deverá inserir ao pacote especial, para que seja mantida a mesma proporção existente entre as quantidades de gemas e de moedas de ouro contidas no pacote básico, é",A 50 000.,B 100 000.,C 200 000.,D 300 000.,E 400 000.,D,"{'D': 0.746749901533296, 'C': 0.1338848878997869, 'E': 0.11451781326216078, 'B': 0.004236999633887012, 'A': 0.000610397670869281}"
QUESTÃO 170,"Um parque tem dois circuitos de tamanhos diferentes para corridas. Um corredor treina nesse parque e, no primeiro dia, inicia seu treino percorrendo 3 voltas em torno do circuito maior e 2 voltas em torno do menor, perfazendo um total de 1 800 metros. Em seguida, dando continuidade a seu treino, corre mais 2 voltas em torno do circuito maior e 1 volta em torno do menor, percorrendo mais 1 100 metros. No segundo dia, ele pretende percorrer 5 000 metros nos circuitos do parque, fazendo um número inteiro de voltas em torno deles e de modo que o número de voltas seja o maior possível. A soma do número de voltas em torno dos dois circuitos, no segundo dia, será",A 10.,B 13.,C 14.,D 15.,E 16.,D,"{'D': 0.3376295942263019, 'C': 0.21799004999065894, 'B': 0.2047827005245876, 'E': 0.17515992600710126, 'A': 0.06443772925135037}"
QUESTÃO 171,"Uma equipe de marketing digital foi contratada para aumentar as vendas de um produto ofertado em um site de comércio eletrônico. Para isso, elaborou um anúncio que, quando o cliente clica sobre ele, é direcionado para a página de vendas do produto. Esse anúncio foi divulgado em duas redes sociais, A e B, e foram obtidos os seguintes resultados: • rede social A: o anúncio foi visualizado por 3 000 pessoas; 10 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 3 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 100 reais ; • rede social B: o anúncio foi visualizado por 1 000 pessoas; 30 por cento delas clicaram sobre o anúncio e foram redirecionadas para o site; 2 por cento das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de 200 reais . Por experiência, o pessoal da equipe de marketing considera que a quantidade de novas pessoas que verão o anúncio é diretamente proporcional ao investimento realizado, e que a quantidade de pessoas que comprarão o produto também se manterá proporcional à quantidade de pessoas que clicarão sobre o anúncio. O responsável pelo produto decidiu, então, investir mais 300 reais em cada uma das duas redes sociais para a divulgação desse anúncio e obteve, de fato, o aumento proporcional esperado na quantidade de clientes que compraram esse produto. Para classificar o aumento obtido na quantidade ( Q ) de compradores desse produto, em consequência dessa segunda divulgação, em relação aos resultados observados na primeira divulgação, o responsável pelo produto adotou o seguinte critério: • Q menor ou igual a 60 por cento : não satisfatório; • 60 por cento menor que Q menor ou igual a 100 por cento : regular; • 100 por cento menor que Q menor ou igual a 150 por cento : bom; • 150 por cento menor que Q menor ou igual a 190 por cento : muito bom; • 190 por cento menor que Q menor ou igual a 200 por cento : excelente. O aumento na quantidade de compradores, em consequência dessa segunda divulgação, em relação ao que foi registrado com a primeira divulgação, foi classificado como",A não satisfatório.,B regular.,C bom.,D muito bom.,E excelente.,D,"{'D': 0.47605062894158756, 'C': 0.26290013937964524, 'B': 0.13639079555961492, 'E': 0.10959306115694585, 'A': 0.015065374962206399}"
QUESTÃO 172,"Uma montadora de automóveis divulgou que oferta a seus clientes mais de 1 000 configurações diferentes de carro, variando o modelo, a motorização, os opcionais e a cor do veículo. Atualmente, ela oferece 7 modelos de carros com 2 tipos de motores: 1.0 e 1.6. Já em relação aos opcionais, existem 3 escolhas possíveis: central multimídia, rodas de liga leve e bancos de couro, podendo o cliente optar por incluir um, dois, três ou nenhum dos opcionais disponíveis. Para ser fiel à divulgação feita, a quantidade mínima de cores que a montadora deverá disponibilizar a seus clientes é",A 8.,B 9.,C 11.,D 18.,E 24.,E,"{'E': 0.31963864826011185, 'D': 0.2820801170358757, 'C': 0.20002475493280436, 'B': 0.103771475820733, 'A': 0.09448500395047509}"
QUESTÃO 173,"Um casal deseja recarregar seu cartão bancário pré-pago, para realizar uma viagem ao exterior. Eles recarregarão esse cartão com 3 000 dólares, em uma única transação. A unidade monetária do país onde reside o casal é o zed e a taxa cambial é de 2,20 zeds por dólar. É cobrado um imposto de 3 por cento sobre o valor pago, em zed , pela recarga, além de uma quantia fixa de 40 zeds pela transação bancária. Qual o valor mínimo, em zed , que esse casal deve possuir para recarregar o cartão?","A 6 640,00","B 6 690,00","C 6 730,00","D 6 838,00","E 6 886,00",D,"{'D': 0.8424569331557974, 'B': 0.08084813861033069, 'A': 0.062964593659591, 'E': 0.01128893184540346, 'C': 0.0024414027288774064}"
QUESTÃO 174,"Cada número que identifica uma agência bancária tem quatro dígitos: N1, N2, N3, N4 mais um dígito verificador N 5, sendo todos esses dígitos números naturais pertencentes ao conjunto formado por 0, 1, 2, 3, 4, 5, 6, 7, 8 e 9. Para a determinação de N 5 , primeiramente multiplica-se ordenadamente os quatro primeiros dígitos do número da agência por 5, 4, 3 e 2, respectivamente, somam-se os resultados e obtém-se S é igual a 5 vezes N1 mais 4 vezes N2 mais 3 vezes N3 mais 2 vezes N4. Posteriormente, encontra-se o resto da divisão de S por 11, denotando por R esse resto. Dessa forma, N5 é a diferença 11 menos R. Considere o número de uma agência bancária cujos quatro primeiros dígitos são 0100. Qual é o dígito verificador N 5 dessa agência bancária?",A 0,B 6,C 7,D 8,E 9,B,"{'B': 0.6029973104353011, 'A': 0.21500529084600328, 'D': 0.10811144966819694, 'C': 0.0597048129699378, 'E': 0.014181136080560772}"
QUESTÃO 175,"Um casal está reformando a cozinha de casa e decidiu comprar um refrigerador novo. Observando a planta da nova cozinha, desenhada na escala de 1 para 50, notaram que o espaço destinado ao refrigerador tinha 3,8 centímetros de altura e 1,6 centímetro de largura. Eles sabem que os fabricantes de refrigeradores indicam que, para um bom funcionamento e fácil manejo na limpeza, esses eletrodomésticos devem ser colocados em espaços que permitam uma distância de, pelo menos, 10 centímetros de outros móveis ou paredes, tanto na parte superior quanto nas laterais. O casal comprou um refrigerador que caberia no local a ele destinado na nova cozinha, seguindo as instruções do fabricante. Esse refrigerador tem altura e largura máximas, em metro, respectivamente, iguais a","A 1,80 e 0,60.","B 1,80 e 0,70.","C 1,90 e 0,80.","D 2,00 e 0,90.","E 2,00 e 1,00.",A,"{'A': 0.8704843881800474, 'B': 0.12540516615190747, 'C': 0.0032391139647450773, 'D': 0.0008189762656116552, 'E': 5.235543768840308e-05}"
QUESTÃO 176,"Foram convidadas 32 equipes para um torneio de futebol, que foram divididas em 8 grupos com 4 equipes, sendo que, dentro de um grupo, cada equipe disputa uma única partida contra cada uma das demais equipes de seu grupo. A primeira e a segunda colocadas de cada grupo seguem para realizar as 8 partidas da próxima fase do torneio, chamada oitavas de final. Os vencedores das partidas das oitavas de final seguem para jogar as 4 partidas das quartas de final. Os vencedores das quartas de final disputam as 2 partidas das semifinais, e os vencedores avançam para a grande final, que define a campeã do torneio. Pelas regras do torneio, cada equipe deve ter um período de descanso de, no mínimo, 3 dias entre dois jogos por ela disputados, ou seja, se um time disputar uma partida, por exemplo, num domingo, só poderá disputar a partida seguinte a partir da quinta-feira da mesma semana. O número mínimo de dias necessários para a realização desse torneio é",A 22.,B 25.,C 28.,D 48.,E 64.,B,"{'B': 0.533285451985344, 'A': 0.16780569589465713, 'D': 0.16780569589465713, 'C': 0.13068720736660105, 'E': 0.00041594885874053357}"
QUESTÃO 177,"Em um jogo de bingo, as cartelas contêm 16 quadrículas dispostas em linhas e colunas. Cada quadrícula tem impresso um número, dentre os inteiros de 1 a 50, sem repetição de número. Na primeira rodada, um número é sorteado, aleatoriamente, dentre os 50 possíveis. Em todas as rodadas, o número sorteado é descartado e não participa dos sorteios das rodadas seguintes. Caso o jogador tenha em sua cartela o número sorteado, ele o assinala na cartela. Ganha o jogador que primeiro conseguir preencher quatro quadrículas que formam uma linha, uma coluna ou uma diagonal, conforme os tipos de situações ilustradas na Figura 1. Descrição da imagem: Figura 1 apresenta 3 cartelas em formato de quadrado, cada uma delas dividida por uma malha quadriculada, composta por 16 quadrículas, que são quadrados menores iguais, dispostos em 4 linhas horizontais e 4 colunas verticais. A cartela à esquerda tem a sua primeira linha com as 4 quadrículas preenchidas por bolinhas pretas e é um exemplo de preenchimento em linha; a cartela ao centro tem a sua última coluna com as 4 quadrículas preenchidas com bolinhas pretas e é um exemplo de preenchimento em coluna; e a cartela à direita tem a sua diagonal, que inicia no canto superior esquerdo, com as 4 quadrículas preenchidas com bolinhas pretas e é um exemplo de preenchimento em diagonal. O jogo inicia e, nas quatro primeiras rodadas, foram sorteados os seguintes números: 03, 27, 07 e 48. Ao final da quarta rodada, somente Pedro possuía uma cartela que continha esses quatro números sorteados, sendo que todos os demais jogadores conseguiram assinalar, no máximo, um desses números em suas cartelas. Observe na Figura 2 o cartão de Pedro após as quatro primeiras rodadas. Descrição da imagem: Figura 2 apresenta uma cartela em formato de quadrado, dividida por uma malha quadriculada, composta por 16 quadrículas, que são quadrados menores iguais, dispostos em 4 linhas horizontais e 4 colunas verticais. Os números impressos nessas 16 quadrículas, iniciando pelo canto superior esquerdo e finalizando no canto inferior direito da cartela, apresentados por linhas e seguindo a ordem crescente das colunas, são: Primeira linha: 03, 48, 12 e 27; Segunda linha: 49, 11, 22 e 05; Terceira linha: 29, 50, 19 e 45; Quarta linha: 33, 23, 38 e 07. Na cartela estão assinalados, rodeados por círculos, os números 03, 48, 27 e 07. A probabilidade de Pedro ganhar o jogo em uma das duas próximas rodadas é",A Fração de numerador 1 e denominador 46 mais fração de numerador 1 e denominador 45.,"B Fração de numerador 1 e denominador 46 mais fração de numerador 2 e denominador, abre parêntese, 46 vezes 45, fecha parêntese.","C Fração de numerador 1 e denominador 46 mais fração de numerador 8 e denominador, abre parêntese, 46 vezes 45, fecha parêntese.","D Fração de numerador 1 e denominador 46 mais fração de numerador 43 e denominador, abre parêntese, 46 vezes 45, fecha parêntese.","E Fração de numerador 1 e denominador 46 mais fração de numerador 49 e denominador, abre parêntese, 46 vezes 45, fecha parêntese.",C,"{'C': 0.9465809423845648, 'B': 0.03239021657271922, 'A': 0.0117309649131499, 'D': 0.007227237824731178, 'E': 0.0020706383048348883}"
QUESTÃO 178,"Uma máquina em operação tem sua temperatura T monitorada por meio de um registro gráfico, ao longo do tempo t . Essa máquina possui um pistão cuja velocidade V varia com a temperatura T da máquina, de acordo com a expressão V é igual a T ao quadrado menos 4. Após a máquina funcionar durante o intervalo de tempo de 10 horas, o seu operador analisa o registro gráfico, apresentado na figura, para avaliar a necessidade de eventuais ajustes, sabendo que a máquina apresenta falhas de funcionamento quando a velocidade do pistão se anula. Descrição da imagem: Figura representa um sistema de coordenadas cartesianas, com eixo horizontal t , em hora, e eixo vertical T , em grau Celsius. No eixo horizontal, estão indicadas as abscissas 0 e 10. No eixo vertical, estão indicadas as ordenadas  − 2, 0, 2 e 4. O traçado do gráfico é uma curva contínua, iniciando num ponto de abscissa 0 e ordenada maior que 2 e menor que 4. Cresce até um ponto de ordenada 4, decresce até um ponto de ordenada − 2, cresce até um ponto de ordenada 0, decresce até um ponto com ordenada − 2, cresce até um ponto com ordenada 0, decresce até um ponto de ordenada − 2, cresce até um ponto de ordenada maior que 2 e menor que 4, e decresce até o ponto de abscissa 10 e ordenada maior que 2 e menor que 4, finalizando nesse ponto. (ºC) 2 Quantas vezes a velocidade do pistão se anulou durante as 10 horas de funcionamento?",A 1,B 2,C 3,D 4,E 5,D,"{'D': 0.9849618882865646, 'C': 0.009359134603543042, 'B': 0.0036650897715729876, 'E': 0.001731265820884285, 'A': 0.00028262151743500136}"
QUESTÃO 179,"World Series é a decisão do campeonato  norte-americano de beisebol. Os dois times que chegam a essa fase jogam, entre si, até sete partidas. O primeiro desses times que completar quatro vitórias é declarado campeão. Considere que, em todas as partidas, a probabilidade de qualquer um dos dois times vencer é sempre fração com numerador 1 e denominador 2 . Qual é a probabilidade de o time campeão ser aquele que venceu a primeira partida da World Series ?",A trinta e cinco sessenta e quatro avos,B quarenta sessenta e quatro avos,C  quarenta e dois sessenta e quatro avos,D quarenta e quatro sessenta e quatro avos,E    cinquenta e dois sessenta e quatro avos,A,"{'A': 0.4193847641201174, 'D': 0.3369851250317764, 'B': 0.13615429844409563, 'C': 0.09069831597835012, 'E': 0.016777496425660548}"
QUESTÃO 180,"O gráfico apresenta os totais de receitas e despesas de uma empresa, expressos em milhão de reais, no decorrer dos meses de um determinado ano. A empresa obtém lucro quando a diferença entre receita e despesa é positiva e tem prejuízo quando essa diferença é negativa. Descrição da imagem: Gráfico de colunas duplas, em que o eixo horizontal corresponde aos meses do ano e o eixo vertical corresponde aos totais de receitas e despesas, em milhão de reais, mostra os seguintes dados: Janeiro: receita, 6; despesa, 3; Fevereiro: receita, 4; despesa, 5; Março: receita, 3; despesa, 2; Abril: receita, 5; despesa, 6; Maio: receita, 6; despesa, 1; Junho: receita, 5; despesa, 2; Julho: receita, 6; despesa, 4; Agosto: receita, 2; despesa, 4; Setembro: receita, 7; despesa, 3; Outubro: receita, 2; despesa, 4; Novembro: receita, 8; despesa, 7; Dezembro: receita, 6; despesa, 2. Qual é a mediana, em milhão de reais, dos valores dos lucros apurados pela empresa nesse ano?","A 1,5","B 2,0","C 2,9","D 3,0","E 5,5",D,"{'D': 0.7438315155676771, 'C': 0.17123973121174094, 'B': 0.0834555714339472, 'A': 0.0011904296729000458, 'E': 0.0002827521137347296}"
